+--------+----------+----------+--------+------+
| 列车号 | 乘车车站 | 行车时间 | 二等座 | 硬座 |
+--------+----------+----------+--------+------+
|  K386  |   成都   |  17:14   |   无   |  有  |
|  K870  |   成都   |  23:52   |   无   |  有  |
|  K292  |   成都   |  21:14   |   无   |  有  |
|  K818  |   成都   |  15:58   |   无   |  无  |
|  K246  |   成都   |  20:37   |   无   |  有  |
| K1364  |   成都   |  21:34   |   无   |  有  |
+--------+----------+----------+--------+------+
+--------+----------+----------+----------+
| 车站名 | 到达时间 | 停留时间 | 出发时间 |
+--------+----------+----------+----------+
|  成都  |   ----   |   ----   |  12:47   |
|  遂宁  |  15:03   |  7分钟   |  15:10   |
|  南充  |  15:53   |  14分钟  |  16:07   |
|  营山  |  16:43   |  5分钟   |  16:48   |
|  达州  |  17:51   |  12分钟  |  18:03   |
|  宣汉  |  18:43   |  3分钟   |  18:46   |
|  万源  |  19:42   |  2分钟   |  19:44   |
|  安康  |  21:09   |  20分钟  |  21:29   |
| 西安南 |  00:01   |  6分钟   |  00:07   |
| 三门峡 |  04:08   |  5分钟   |  04:13   |
|  渑池  |  05:04   |  3分钟   |  05:07   |
|  洛阳  |  06:01   |  12分钟  |  06:13   |
|  郑州  |  08:08   |  29分钟  |  08:37   |
|  新乡  |  09:40   |  10分钟  |  09:50   |
|  卫辉  |  10:07   |  11分钟  |  10:18   |
|  鹤壁  |  10:44   |  19分钟  |  11:03   |
|  汤阴  |  11:18   |  4分钟   |  11:22   |
|  安阳  |  11:40   |  4分钟   |  11:44   |
|  邯郸  |  12:21   |  4分钟   |  12:25   |
| 石家庄 |  14:04   |  6分钟   |  14:10   |
|  定州  |  14:57   |  2分钟   |  14:59   |
|  保定  |  15:36   |  11分钟  |  15:47   |
|  天津  |  18:14   |  12分钟  |  18:26   |
|  塘沽  |  18:58   |  2分钟   |  19:00   |
|  唐山  |  19:53   |  18分钟  |  20:11   |
|  滦县  |  21:00   |  6分钟   |  21:06   |
| 秦皇岛 |  22:32   |  9分钟   |  22:41   |
| 山海关 |  23:06   |  8分钟   |  23:14   |
| 葫芦岛 |  00:37   |  2分钟   |  00:39   |
|  锦州  |  01:18   |  6分钟   |  01:24   |
| 沟帮子 |  02:28   |  3分钟   |  02:31   |
|  盘锦  |  03:00   |  5分钟   |  03:05   |
|  鞍山  |  04:34   |  3分钟   |  04:37   |
|  辽阳  |  04:56   |  3分钟   |  04:59   |
|  沈阳  |  05:49   |  9分钟   |  05:58   |
| 沈阳北 |  06:05   |   ----   |  06:05   |
+--------+----------+----------+----------+
